filename,timestep,epochs,batchsize,learningrate,activationfunction,model_accuracy,errorvalues,species
s3tsep10bs256lr0.001af2,3,10,256,0.001,2,0,4726,three
s3tsep10bs256lr0.001af3,3,10,256,0.001,3,0,4726,three
s3tsep10bs256lr0.01af1,3,10,256,0.01,1,0,4727,three
s3tsep10bs256lr0.01af2,3,10,256,0.01,2,0,4726,three
s3tsep10bs256lr0.01af3,3,10,256,0.01,3,0,4727,three
s3tsep20bs128lr0.0001af1,3,20,128,0.0001,1,56,3685,three
s3tsep20bs128lr0.0001af2,3,20,128,0.0001,2,56,3795,three
s3tsep20bs128lr0.0001af3,3,20,128,0.0001,3,56,3675,three
s3tsep20bs128lr0.001af1,3,20,128,0.001,1,56,3790,three
s3tsep20bs128lr0.001af2,3,20,128,0.001,2,57,3736,three
s3tsep20bs128lr0.001af3,3,20,128,0.001,3,0,4725,three
s3tsep20bs128lr0.01af1,3,20,128,0.01,1,0,4726,three
s3tsep20bs128lr0.01af2,3,20,128,0.01,2,0,4726,three
s3tsep20bs128lr0.01af3,3,20,128,0.01,3,0,4726,three
s3tsep20bs256lr0.0001af1,3,20,256,0.0001,1,56,3742,three
s3tsep20bs256lr0.0001af2,3,20,256,0.0001,2,75,2918,three
s3tsep20bs256lr0.0001af3,3,20,256,0.0001,3,56,3728,three
s3tsep20bs256lr0.001af1,3,20,256,0.001,1,56,3779,three
s3tsep20bs256lr0.001af2,3,20,256,0.001,2,56,3739,three
s3tsep20bs256lr0.001af3,3,20,256,0.001,3,55,3882,three
s3tsep20bs256lr0.01af1,3,20,256,0.01,1,0,4727,three
s3tsep20bs256lr0.01af2,3,20,256,0.01,2,0,4727,three
s3tsep20bs256lr0.01af3,3,20,256,0.01,3,0,4730,three
s3tsep40bs128lr0.0001af1,3,40,128,0.0001,1,56,3784,three
s3tsep40bs128lr0.0001af2,3,40,128,0.0001,2,56,3763,three
s3tsep40bs128lr0.0001af3,3,40,128,0.0001,3,56,3768,three
s3tsep40bs128lr0.001af1,3,40,128,0.001,1,56,3745,three
s3tsep40bs128lr0.001af2,3,40,128,0.001,2,57,3740,three
s3tsep40bs128lr0.001af3,3,40,128,0.001,3,0,4727,three
s3tsep40bs128lr0.01af1,3,40,128,0.01,1,0,4727,three
s3tsep40bs128lr0.01af2,3,40,128,0.01,2,0,4726,three
s3tsep40bs128lr0.01af3,3,40,128,0.01,3,0,4727,three
s3tsep40bs256lr0.0001af1,3,40,256,0.0001,1,56,3720,three
s3tsep40bs256lr0.0001af2,3,40,256,0.0001,2,56,3686,three
s3tsep40bs256lr0.0001af3,3,40,256,0.0001,3,57,3805,three
s3tsep40bs256lr0.001af1,3,40,256,0.001,1,56,3736,three
s3tsep40bs256lr0.001af2,3,40,256,0.001,2,56,3746,three
s3tsep40bs256lr0.001af3,3,40,256,0.001,3,56,3715,three
s3tsep40bs256lr0.01af1,3,40,256,0.01,1,0,4727,three
s3tsep40bs256lr0.01af2,3,40,256,0.01,2,56,3719,three
s3tsep40bs256lr0.01af3,3,40,256,0.01,3,1,4729,three
s3tsep80bs128lr0.0001af1,3,80,128,0.0001,1,56,3700,three
s3tsep80bs128lr0.0001af2,3,80,128,0.0001,2,57,3782,three
s3tsep80bs128lr0.0001af3,3,80,128,0.0001,3,57,3713,three
s3tsep80bs128lr0.001af1,3,80,128,0.001,1,56,3687,three
s3tsep80bs128lr0.001af2,3,80,128,0.001,2,57,3729,three
s3tsep80bs128lr0.001af3,3,80,128,0.001,3,0,4727,three
s3tsep80bs128lr0.01af1,3,80,128,0.01,1,0,4727,three
s3tsep80bs128lr0.01af2,3,80,128,0.01,2,0,4727,three
s3tsep80bs128lr0.01af3,3,80,128,0.01,3,0,4726,three
s3tsep80bs256lr0.0001af1,3,80,256,0.0001,1,57,3778,three
s3tsep80bs256lr0.0001af2,3,80,256,0.0001,2,56,3784,three
s3tsep80bs256lr0.0001af3,3,80,256,0.0001,3,56,3735,three
s3tsep80bs256lr0.001af1,3,80,256,0.001,1,56,3757,three
s3tsep80bs256lr0.001af2,3,80,256,0.001,2,57,3754,three
s3tsep80bs256lr0.001af3,3,80,256,0.001,3,57,3721,three
s3tsep80bs256lr0.01af1,3,80,256,0.01,1,0,4727,three
s3tsep80bs256lr0.01af2,3,80,256,0.01,2,0,4727,three
s3tsep80bs256lr0.01af3,3,80,256,0.01,3,0,4726,three
s5tsep10bs128lr0.0001af1,5,10,128,0.0001,1,57,3748,five
s5tsep10bs128lr0.0001af2,5,10,128,0.0001,2,53,4051,five
s5tsep10bs128lr0.0001af3,5,10,128,0.0001,3,56,3758,five
s5tsep10bs128lr0.001af1,5,10,128,0.001,1,56,3766,five
s5tsep10bs128lr0.001af2,5,10,128,0.001,2,56,3766,five
s5tsep10bs128lr0.001af3,5,10,128,0.001,3,0,4730,five
s5tsep10bs128lr0.01af1,5,10,128,0.01,1,0,4728,five
s5tsep10bs128lr0.01af2,5,10,128,0.01,2,0,4729,five
s5tsep10bs128lr0.01af3,5,10,128,0.01,3,0,4735,five
s5tsep10bs256lr0.0001af1,5,10,256,0.0001,1,56,3863,five
s5tsep10bs256lr0.0001af2,5,10,256,0.0001,2,54,3935,five
s5tsep10bs256lr0.0001af3,5,10,256,0.0001,3,56,3688,five
s5tsep10bs256lr0.001af1,5,10,256,0.001,1,57,3802,five
s5tsep10bs256lr0.001af2,5,10,256,0.001,2,56,3735,five
s5tsep10bs256lr0.001af3,5,10,256,0.001,3,0,4728,five
s5tsep10bs256lr0.01af1,5,10,256,0.01,1,0,4728,five
s5tsep10bs256lr0.01af2,5,10,256,0.01,2,0,4730,five
s5tsep10bs256lr0.01af3,5,10,256,0.01,3,0,4729,five
s5tsep20bs128lr0.0001af1,5,20,128,0.0001,1,56,3694,five
s5tsep20bs128lr0.0001af2,5,20,128,0.0001,2,57,3716,five
s5tsep20bs128lr0.0001af3,5,20,128,0.0001,3,81,2458,five
s5tsep20bs128lr0.001af1,5,20,128,0.001,1,56,3718,five
s5tsep20bs128lr0.001af2,5,20,128,0.001,2,56,3759,five
s5tsep20bs128lr0.001af3,5,20,128,0.001,3,0,4729,five
s5tsep20bs128lr0.01af1,5,20,128,0.01,1,0,4729,five
s5tsep20bs128lr0.01af2,5,20,128,0.01,2,0,4728,five
s5tsep20bs128lr0.01af3,5,20,128,0.01,3,0,4727,five
s5tsep20bs256lr0.0001af1,5,20,256,0.0001,1,81,2541,five
s5tsep20bs256lr0.0001af2,5,20,256,0.0001,2,56,3681,five
s5tsep20bs256lr0.0001af3,5,20,256,0.0001,3,56,3737,five
s5tsep20bs256lr0.001af1,5,20,256,0.001,1,57,3709,five
s5tsep20bs256lr0.001af2,5,20,256,0.001,2,56,3705,five
s5tsep20bs256lr0.001af3,5,20,256,0.001,3,0,4729,five
s5tsep20bs256lr0.01af1,5,20,256,0.01,1,0,4729,five
s5tsep20bs256lr0.01af2,5,20,256,0.01,2,0,4728,five
s5tsep20bs256lr0.01af3,5,20,256,0.01,3,1,4736,five
s5tsep40bs128lr0.0001af1,5,40,128,0.0001,1,56,3737,five
s5tsep40bs128lr0.0001af2,5,40,128,0.0001,2,56,3767,five
s5tsep40bs128lr0.0001af3,5,40,128,0.0001,3,82,2350,five
s5tsep40bs128lr0.001af1,5,40,128,0.001,1,56,3681,five
s5tsep40bs128lr0.001af2,5,40,128,0.001,2,56,3729,five
s5tsep40bs128lr0.001af3,5,40,128,0.001,3,0,4729,five
s5tsep40bs128lr0.01af1,5,40,128,0.01,1,0,4729,five
s5tsep40bs128lr0.01af2,5,40,128,0.01,2,0,4729,five
s5tsep40bs128lr0.01af3,5,40,128,0.01,3,0,4728,five
s5tsep40bs256lr0.0001af1,5,40,256,0.0001,1,56,3737,five
s5tsep40bs256lr0.0001af2,5,40,256,0.0001,2,57,3777,five
s5tsep40bs256lr0.0001af3,5,40,256,0.0001,3,80,2514,five
s5tsep40bs256lr0.001af1,5,40,256,0.001,1,57,3713,five
s5tsep40bs256lr0.001af2,5,40,256,0.001,2,57,3734,five
s5tsep40bs256lr0.001af3,5,40,256,0.001,3,0,4729,five
s5tsep40bs256lr0.01af1,5,40,256,0.01,1,0,4729,five
s5tsep40bs256lr0.01af2,5,40,256,0.01,2,0,4729,five
s5tsep40bs256lr0.01af3,5,40,256,0.01,3,0,4731,five
s5tsep80bs128lr0.0001af1,5,80,128,0.0001,1,56,3666,five
s5tsep80bs128lr0.0001af2,5,80,128,0.0001,2,56,3688,five
s5tsep80bs128lr0.0001af3,5,80,128,0.0001,3,81,2384,five
s5tsep80bs128lr0.001af1,5,80,128,0.001,1,56,3684,five
s5tsep80bs128lr0.001af2,5,80,128,0.001,2,57,3702,five
s5tsep80bs128lr0.001af3,5,80,128,0.001,3,0,4728,five
s5tsep80bs128lr0.01af1,5,80,128,0.01,1,0,4729,five
s5tsep80bs128lr0.01af2,5,80,128,0.01,2,0,4728,five
s5tsep80bs128lr0.01af3,5,80,128,0.01,3,0,4728,five
s5tsep80bs256lr0.0001af1,5,80,256,0.0001,1,57,3725,five
s5tsep80bs256lr0.0001af2,5,80,256,0.0001,2,56,3687,five
s5tsep80bs256lr0.0001af3,5,80,256,0.0001,3,80,2498,five
s5tsep80bs256lr0.001af1,5,80,256,0.001,1,56,3667,five
s5tsep80bs256lr0.001af2,5,80,256,0.001,2,56,3728,five
s5tsep80bs256lr0.001af3,5,80,256,0.001,3,56,3701,five
s5tsep80bs256lr0.01af1,5,80,256,0.01,1,0,4728,five
s5tsep80bs256lr0.01af2,5,80,256,0.01,2,0,4728,five
s5tsep80bs256lr0.01af3,5,80,256,0.01,3,0,4729,five
